Data,Quantidade de Vendas,Temperatura (°C)
2024-01-01,171,27.5
2024-01-02,163,24.3
2024-01-03,192,28.2
2024-01-04,216,32.6
2024-01-05,164,23.8
2024-01-06,172,23.8
2024-01-07,258,32.9
2024-01-08,204,28.8
2024-01-09,162,22.7
2024-01-10,192,27.7
2024-01-11,129,22.7
2024-01-12,158,22.7
2024-01-13,184,26.2
2024-01-14,144,15.4
2024-01-15,111,16.4
2024-01-16,159,22.2
2024-01-17,139,19.9
2024-01-18,168,26.6
2024-01-19,160,20.5
2024-01-20,136,17.9
2024-01-21,238,32.3
2024-01-22,153,23.9
2024-01-23,198,25.3
2024-01-24,104,17.9
2024-01-25,164,22.3
2024-01-26,211,25.6
2024-01-27,119,19.2
2024-01-28,179,26.9
2024-01-29,155,22.0
2024-01-30,157,23.5
2024-01-31,130,22.0
2024-02-01,240,34.3
2024-02-02,158,24.9
2024-02-03,145,19.7
2024-02-04,189,29.1
2024-02-05,155,18.9
2024-02-06,170,26.0
2024-02-07,101,15.2
2024-02-08,140,18.4
2024-02-09,163,26.0
2024-02-10,204,28.7
2024-02-11,200,25.9
2024-02-12,146,24.4
2024-02-13,167,23.5
2024-02-14,127,17.6
2024-02-15,161,21.4
2024-02-16,140,22.7
2024-02-17,192,30.3
2024-02-18,194,26.7
2024-02-19,117,16.2
2024-02-20,190,26.6
2024-02-21,166,23.1
2024-02-22,141,21.6
2024-02-23,199,28.1
2024-02-24,215,30.2
2024-02-25,196,29.7
2024-02-26,173,20.8
2024-02-27,171,23.5
2024-02-28,168,26.7
2024-02-29,218,29.9
2024-03-01,143,22.6
2024-03-02,180,24.1
2024-03-03,153,19.5
2024-03-04,120,19.0
2024-03-05,217,29.1
2024-03-06,228,31.8
2024-03-07,184,24.6
2024-03-08,238,30.0
2024-03-09,183,26.8
2024-03-10,141,21.8
2024-03-11,174,26.8
2024-03-12,216,32.7
2024-03-13,172,24.8
2024-03-14,234,32.8
2024-03-15,109,15.0
2024-03-16,216,29.1
2024-03-17,178,25.4
2024-03-18,186,23.5
2024-03-19,174,25.5
2024-03-20,146,15.1
2024-03-21,176,23.9
2024-03-22,174,26.8
2024-03-23,210,32.4
2024-03-24,164,22.4
2024-03-25,143,21.0
2024-03-26,168,22.5
2024-03-27,214,29.6
2024-03-28,185,26.6
2024-03-29,143,22.4
2024-03-30,170,27.6
2024-03-31,171,25.5
2024-04-01,221,29.8
2024-04-02,153,21.5
2024-04-03,144,23.4
2024-04-04,163,23.0
2024-04-05,129,17.7
2024-04-06,172,26.5
2024-04-07,186,26.3
2024-04-08,176,25.0
2024-04-09,149,23.8
